"sample_id","subject","group_arm","timepoint","group_id","ME"
"S29_T3","HR_S29","HR","T3",2,1.1372039168
"S04_T3","LR_S04","LR","T3",2,0.0823034296649833
"S05_T3","LR_S05","LR","T3",2,1.66462676716228
"S06_T3","LR_S06","LR","T3",2,-0.526825594191687
"S12_T3","LR_S12","LR","T3",2,1.69399649215937
"S14_T3","LR_S14","LR","T3",2,0.415303094282386
"S17_T3","LR_S17","LR","T3",2,0.346660280234942
"S21_T3","LR_S21","LR","T3",2,-0.251564712039947
"S30_T3","LR_S30","LR","T3",2,-0.324176818204735
"S03_T1","HR_S03","HR","T1",3,4.13222681952103
"S10_T1","HR_S10","HR","T1",3,-0.74955101281301
"S16_T1","HR_S16","HR","T1",3,-0.106656063096128
"S22_T1","HR_S22","HR","T1",3,4.59795682004837
"S24_T1","HR_S24","HR","T1",3,-0.255408140088584
"S27_T1","HR_S27","HR","T1",3,0.0523179515491002
"S28_T1","HR_S28","HR","T1",3,-1.75969182769596
"S04_T1","LR_S04","LR","T1",3,-2.52631582446377
"S05_T1","LR_S05","LR","T1",3,-2.67076834176155
"S06_T1","LR_S06","LR","T1",3,-0.836250592877985
"S12_T1","LR_S12","LR","T1",3,0.368013891829792
"S14_T1","LR_S14","LR","T1",3,-1.33277017855483
"S17_T1","LR_S17","LR","T1",3,2.5797537736998
"S21_T1","LR_S21","LR","T1",3,1.97540137574288
"S30_T1","LR_S30","LR","T1",3,2.60368531564398
"S03_T2","HR_S03","HR","T2",3,-2.08714850691513
"S10_T2","HR_S10","HR","T2",3,-0.604240637974798
"S16_T2","HR_S16","HR","T2",3,-4.16946392444174
"S22_T2","HR_S22","HR","T2",3,-2.7938725971098
"S24_T2","HR_S24","HR","T2",3,1.94162779544834
"S27_T2","HR_S27","HR","T2",3,-2.2343407769321
"S29_T2","HR_S29","HR","T2",3,-1.42586716060424
"S04_T2","LR_S04","LR","T2",3,-4.92448193653362
"S05_T2","LR_S05","LR","T2",3,0.679254216868761
"S06_T2","LR_S06","LR","T2",3,0.446033926336897
"S12_T2","LR_S12","LR","T2",3,0.830936732410167
"S14_T2","LR_S14","LR","T2",3,2.3452100430882
"S17_T2","LR_S17","LR","T2",3,3.26806813014198
"S21_T2","LR_S21","LR","T2",3,-3.1433760432404
"S30_T2","LR_S30","LR","T2",3,-2.18843193562815
"S03_T3","HR_S03","HR","T3",3,-1.78016125209049
"S10_T3","HR_S10","HR","T3",3,1.19147535750415
"S16_T3","HR_S16","HR","T3",3,-2.80516370008769
"S22_T3","HR_S22","HR","T3",3,2.48093069694823
"S24_T3","HR_S24","HR","T3",3,6.68514615583318
"S27_T3","HR_S27","HR","T3",3,-1.20097597128643
"S29_T3","HR_S29","HR","T3",3,-1.17117149094372
"S04_T3","LR_S04","LR","T3",3,2.48576549778283
"S05_T3","LR_S05","LR","T3",3,-1.68748141690572
"S06_T3","LR_S06","LR","T3",3,1.33800303613468
"S12_T3","LR_S12","LR","T3",3,-1.70156142888709
"S14_T3","LR_S14","LR","T3",3,0.419044945283016
"S17_T3","LR_S17","LR","T3",3,-0.705426383085723
"S21_T3","LR_S21","LR","T3",3,0.633479926816582
"S30_T3","LR_S30","LR","T3",3,3.80624473538674
"S03_T1","HR_S03","HR","T1",4,-0.034448041890986
"S10_T1","HR_S10","HR","T1",4,0.65923489968231
"S16_T1","HR_S16","HR","T1",4,-1.82582696902333
"S22_T1","HR_S22","HR","T1",4,3.03488587706706
"S24_T1","HR_S24","HR","T1",4,-2.28552859726716
"S27_T1","HR_S27","HR","T1",4,-0.296045782887256
"S28_T1","HR_S28","HR","T1",4,1.23720787234464
"S04_T1","LR_S04","LR","T1",4,-0.672271992915638
"S05_T1","LR_S05","LR","T1",4,-1.205384554646
"S06_T1","LR_S06","LR","T1",4,-1.52818608326086
"S12_T1","LR_S12","LR","T1",4,-1.09226632510792
"S14_T1","LR_S14","LR","T1",4,-0.486398729058818
"S17_T1","LR_S17","LR","T1",4,-0.224075447693358
"S21_T1","LR_S21","LR","T1",4,-3.15923214962017
"S30_T1","LR_S30","LR","T1",4,-0.880721921171663
"S03_T2","HR_S03","HR","T2",4,-2.83128306298461
"S10_T2","HR_S10","HR","T2",4,0.440618523447514
"S16_T2","HR_S16","HR","T2",4,-0.5516133366224
"S22_T2","HR_S22","HR","T2",4,-1.07050361950484
"S24_T2","HR_S24","HR","T2",4,-1.78287127783837
"S27_T2","HR_S27","HR","T2",4,-2.29747004923037
"S29_T2","HR_S29","HR","T2",4,-2.48852179659095
"S04_T2","LR_S04","LR","T2",4,-0.52410548481519
"S05_T2","LR_S05","LR","T2",4,-0.290196455384554
"S06_T2","LR_S06","LR","T2",4,-2.96643135192969
"S12_T2","LR_S12","LR","T2",4,-0.637024536128053
"S14_T2","LR_S14","LR","T2",4,5.54699324883106
"S17_T2","LR_S17","LR","T2",4,-0.907776338945586
"S21_T2","LR_S21","LR","T2",4,-2.43727796080187
"S30_T2","LR_S30","LR","T2",4,-1.09643591265271
"S03_T3","HR_S03","HR","T3",4,3.69889992397571
"S10_T3","HR_S10","HR","T3",4,9.86898276645438
"S16_T3","HR_S16","HR","T3",4,-0.153546741336472
"S22_T3","HR_S22","HR","T3",4,3.92379836315968
"S24_T3","HR_S24","HR","T3",4,10.1537344123594
"S27_T3","HR_S27","HR","T3",4,0.228799158651759
"S29_T3","HR_S29","HR","T3",4,-0.378946478441858
"S04_T3","LR_S04","LR","T3",4,-0.839140778111549
"S05_T3","LR_S05","LR","T3",4,-0.654911420068726
"S06_T3","LR_S06","LR","T3",4,-3.00640179890984
"S12_T3","LR_S12","LR","T3",4,-0.430070494211054
"S14_T3","LR_S14","LR","T3",4,4.56244543299029
"S17_T3","LR_S17","LR","T3",4,-1.37619990906939
"S21_T3","LR_S21","LR","T3",4,-1.74581099080275
"S30_T3","LR_S30","LR","T3",4,-1.1986740900399
